Absorber type,Thickness (mm),name,Low frequency NRC
TE,36,Ag t6,0.720979583
TE,36,Ag t8,0.711497844
TE,20,Ag t9,0.534634869
TE,23,Ag t7,0.636879838
TE,17,Ag t10,0.58019595
TE,16.9,A1 - 4x,0.640717438
TE,17.3,A2 - 4x,0.612645613
TE,18,A3 - 4x,0.658597781
TE,17.9,A4 - 4x,0.641844294
TE,18,A4-1 - 4x,0.600544375
TE,16.2,A5 - 4x,0.6426602
TE,16,A6 - 4x,0.597092856
TE,16.9,A11 - 4x,0.607442099
TE,18,A7 - 4x,0.614728556
TE,18,A8 - 4x,0.600480713
TE,17.09,A9 - 4x,0.556249806
TE,18,A10 - 4x,0.483171194
TE,18,web-Ag-s1-1,0.614632788
TE,25,piezo pu-CNT foam,0.7375
TE,25,piezo pu-CNT foam,0.720973125
TE,25,piezo pu-CNT foam,0.707875
Composite,20,web-CNT3,0.3575306
Composite,20,web-CNT3,0.344228425
Composite,21,web-CNT2,0.3287032
Composite,21,web-CNT2,0.31661848
Composite,19,web-CNT1,0.25284181
Composite,19,web-CNT1,0.28667854
Composite,18,web-CNT0,0.20506485
Composite,18,web-CNT0,0.24598944
Composite,20,web-prinstine,0.374049725
Composite,25,PP/PVDF,0.6174
Composite,25,GW/PVDF,0.55174375
Composite,25,PMMA/PVDF,0.73122375
Composite,25,PU/PVDF,0.67740375
TE,25,PP-TE,0.67282125
TE,25,GW-TE,0.7080375
TE,25,PMMA-TE,0.80841
TE,25,PU-TE,0.78998875
Pure,25,PP2,0.471625
Pure,25,PP fibers,0.54180125
Pure,15,Al metal foam,0.133909738
Pure,15,polyester dense board,0.679229
Pure,28,melamine,0.500025625
Pure,28,High density PU,0.526473125
Pure,30,Cotton Fibers,0.469298325
Pure,28,GW,0.51624325
Pure,28,Rockwool,0.343681875
Pure,28,Paper pulps,0.568819375
Pure,25,PE,0.2421021
Pure,25,PE loose std,0.28724925
Pure,25,PE loose std,0.237875
Pure,25,PP,0.54902875
Pure,25,GW,0.4700725
Pure,25,PU,0.54957625
Layered,20,layerred GW,0.5435
Layered,20,layered polyester,0.57065
